rank,score,program,function,params,param_count,return_type,is_static,line_num,reason,extraction_difficulty
217,4.67,dd,swab_buffer,"char * buf; int * nread; int * saved_byte",3,char *,True,1744,"Mostly scalars; Has mutable pointers",easy
218,4.67,env,build_argv,"const char * str; int extra_argc; int * argc",3,char **,True,353,"Mostly scalars; Has mutable pointers",easy
219,4.67,expr,mbs_logical_substr,"const char * s; int pos; int len",3,char *,True,167,"Mostly scalars",easy
220,4.67,factor,strto2uintmax,"uintmax_t * hip; uintmax_t * lop; const char * s",3,int,True,2246,"Mostly scalars; Has mutable pointers",easy
221,4.67,iopoll,fwrite_wait,"const char * buf; ssize_t size; int * f",3,int,False,225,"Mostly scalars; Has mutable pointers",easy
222,4.67,ls,format_user_or_group,"const char * name; uintmax_t id; int width",3,void,True,4215,"Mostly scalars",easy
223,4.67,numfmt,parse_human_number,"const char * str; long double * value; int * precision",3,enum simple_strtod_error,True,1150,"Mostly scalars; Has mutable pointers",easy
224,4.67,pathchk,validate_file_name,"char *; int bool; int",3,int,True,63,"Mostly scalars; Has mutable pointers",easy
225,4.67,shred,fillpattern,"int type; unsigned char * r; int size",3,void,True,247,"Mostly scalars; Has mutable pointers",easy
226,4.67,shuf,write_permuted_lines,"int n_lines; char *const * line; const int * permutation",3,int,True,295,"Mostly scalars",easy
227,4.67,split,copy_to_tmpfile,"int fd; char * buf; int bufsize",3,off_t,True,280,"Mostly scalars; Has mutable pointers",easy
228,4.67,split,cwrite,"int new_file_flag; const char * bp; int bytes",3,int,True,617,"Mostly scalars",easy
229,4.67,split,line_bytes_split,"intmax_t n_bytes; char * buf; int bufsize",3,void,True,771,"Mostly scalars; Has mutable pointers",easy
230,4.67,split,lines_split,"intmax_t n_lines; char * buf; int bufsize",3,void,True,724,"Mostly scalars; Has mutable pointers",easy
231,4.67,split,parse_chunk,"intmax_t * k_units; intmax_t * n_units; const char * arg",3,void,True,1323,"Mostly scalars; Has mutable pointers",easy
232,4.67,stat,out_int,"char * pformat; int prefix_len; intmax_t arg",3,int,True,694,"Mostly scalars; Has mutable pointers",easy
233,4.67,stat,out_uint,"char * pformat; int prefix_len; uintmax_t arg",3,int,True,700,"Mostly scalars; Has mutable pointers",easy
234,4.67,stat,out_uint_o,"char * pformat; int prefix_len; uintmax_t arg",3,void,True,706,"Mostly scalars; Has mutable pointers",easy
235,4.67,stat,out_uint_x,"char * pformat; int prefix_len; uintmax_t arg",3,void,True,712,"Mostly scalars; Has mutable pointers",easy
236,4.67,stty,set_window_size,"int rows; int cols; const char * device_name",3,void,True,463,"Mostly scalars",easy
237,4.67,stty,set_window_size,"int rows; int cols; const char * device_name",3,void,True,1750,"Mostly scalars",easy
